
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2015","","2020",""
"178"," Guinea","17.5","","17.0","","16.7","","16.4","","16.7","","17.1","","18.0",""
"175"," Guinea-Bissau","16.8","","16.8","","17.0","","17.6","","18.1","","18.4","","18.8",""
"122"," Guyana","21.1","","21.7","","22.7","","23.1","","24.5","","25.0","","26.7",""
"170"," Haiti","18.5","","18.5","","19.1","","20.3","","21.5","","22.7","","24.0",""
"132"," Honduras","16.9","","17.5","","18.2","","19.3","","20.7","","22.5","","24.3",""
"4"," Hong Kong, China (SAR)","31.0","","34.0","","36.2","","39.1","","41.2","","43.2","","44.8",""
"40"," Hungary","36.4","","37.5","","38.5","","39.1","","40.1","","41.7","","43.3",""
"4"," Iceland","30.0","","31.5","","32.9","","34.3","","34.8","","36.0","","37.5",""
"131"," India","21.1","","21.8","","22.7","","23.8","","25.1","","26.8","","28.4",""
"107"," Indonesia","21.3","","22.8","","24.4","","25.6","","27.2","","28.5","","29.7",""
"70"," Iran (Islamic Republic of)","17.2","","18.6","","21.2","","24.1","","27.0","","29.7","","32.0",""
"123"," Iraq","16.8","","17.5","","18.2","","18.7","","18.8","","20.0","","21.0",""
"2"," Ireland","28.4","","30.1","","31.8","","33.2","","34.4","","36.5","","38.2",""
"19"," Israel","25.9","","27.3","","28.0","","28.7","","30.1","","30.2","","30.5",""
"29"," Italy","37.0","","38.7","","40.3","","41.9","","43.5","","45.4","","47.3",""
"101"," Jamaica","22.2","","23.5","","24.9","","26.2","","27.5","","29.0","","30.7",""
"19"," Japan","37.3","","39.4","","41.2","","43.0","","44.7","","46.4","","48.4",""
"102"," Jordan","16.8","","19.1","","19.6","","20.6","","21.3","","22.1","","23.8",""
"51"," Kazakhstan","26.0","","27.1","","27.8","","28.6","","28.9","","29.4","","30.7",""
"143"," Kenya","15.4","","16.4","","17.0","","17.6","","18.1","","18.9","","20.1",""
"134"," Kiribati","20.4","","19.6","","19.7","","20.7","","21.6","","22.3","","23.0",""
".."," Korea (Democratic People's Rep. of)","25.0","","27.3","","29.4","","31.5","","33.0","","34.1","","35.3",""
"23"," Korea (Republic of)","27.0","","29.3","","31.9","","34.8","","38.0","","40.8","","43.7",""
"64"," Kuwait","23.5","","26.6","","27.8","","28.2","","29.5","","33.5","","36.8",""
"120"," Kyrgyzstan","21.8","","21.6","","22.5","","23.8","","24.0","","25.1","","26.0",""
"137"," Lao People's Democratic Republic","17.6","","17.6","","18.0","","19.1","","20.7","","22.8","","24.4",""
"37"," Latvia","34.7","","36.2","","37.9","","39.5","","40.8","","42.6","","43.9",""
"92"," Lebanon","20.7","","23.2","","25.1","","25.6","","27.8","","27.6","","29.6",""
"165"," Lesotho","17.1","","18.2","","19.0","","20.3","","21.7","","23.0","","24.0",""
"175"," Liberia","17.4","","18.0","","18.4","","18.4","","18.5","","18.8","","19.4",""
"105"," Libya","18.5","","20.2","","22.1","","24.0","","25.7","","27.1","","28.8",""
"34"," Lithuania","32.7","","34.0","","35.9","","38.5","","40.6","","42.7","","45.1",""
"23"," Luxembourg","36.4","","36.7","","37.3","","38.5","","38.9","","39.3","","39.7",""
"164"," Madagascar","17.1","","17.2","","17.3","","17.5","","18.0","","18.7","","19.6",""
"174"," Malawi","17.5","","17.4","","16.9","","16.6","","16.6","","17.2","","18.1",""
"62"," Malaysia","21.6","f","22.5","f","23.8","f","25.0","f","26.0","f","28.2","f","30.3","f"
"95"," Maldives","16.2","","16.7","","18.7","","22.2","","24.9","","28.6","","29.9",""
"184"," Mali","16.5","","16.5","","16.6","","16.5","","16.2","","16.0","","16.3",""
"28"," Malta","33.1","","35.0","","36.5","","38.4","","40.2","","41.1","","42.6",""
"157"," Mauritania","17.4","","17.6","","17.9","","18.5","","19.1","","19.6","","20.1",""
"66"," Mauritius","24.9","g","26.8","g","29.0","g","30.5","g","32.9","g","35.6","g","37.5","g"
"74"," Mexico","19.7","","21.3","","22.9","","24.7","","26.2","","27.7","","29.2",""
"136"," Micronesia (Federated States of)","17.6","","17.7","","18.9","","19.5","","21.5","","22.8","","24.4",""
"90"," Moldova (Republic of)","29.9","h","30.8","h","31.3","h","32.4","h","34.2","h","35.6","h","37.6","h"
"99"," Mongolia","19.3","","20.3","","22.0","","24.0","","25.7","","27.1","","28.2",""
"48"," Montenegro","29.8","","32.2","","34.4","","35.0","","36.4","","37.7","","38.8",""
"121"," Morocco","19.8","","21.1","","22.7","","24.5","","26.4","","27.9","","29.5",""
"181"," Mozambique","16.5","","17.7","","17.6","","17.3","","17.0","","17.1","","17.6",""
"147"," Myanmar","20.7","","22.0","","23.3","","24.5","","26.1","","27.5","","29.0",""
"130"," Namibia","17.5","","18.0","","18.5","","19.5","","20.5","","21.1","","21.8",""
"142"," Nepal","18.7","","19.0","","19.3","","20.2","","21.7","","22.2","","24.6",""
"8"," Netherlands","34.6","","36.0","","37.5","","39.0","","40.8","","42.1","","43.3",""
"14"," New Zealand","31.1","","32.6","","34.3","","35.5","","36.6","","37.3","","38.0",""
"128"," Nicaragua","16.9","","17.9","","19.3","","21.1","","22.9","","24.6","","26.5",""
"189"," Niger","15.8","","16.0","","15.9","","15.4","","15.0","","14.9","","15.2",""
"161"," Nigeria","17.4","","17.7","","17.9","","18.0","","17.9","","17.9","","18.1",""
"82"," North Macedonia","29.2","","30.7","","32.3","","34.0","","35.7","","37.4","","39.1",""
"1"," Norway","35.4","i","36.1","i","36.9","i","38.0","i","38.7","i","39.2","i","39.8","i"
"60"," Oman","17.9","","20.9","","20.9","","22.9","","26.2","","29.0","","30.6",""
"154"," Pakistan","18.5","","18.4","","18.8","","19.6","","20.7","","21.8","","22.8",""
"115"," Palestine, State of","15.7","j","15.7","j","16.0","j","17.0","j","18.2","j","19.5","j","20.8","j"
"57"," Panama","21.7","","23.1","","24.5","","25.9","","27.2","","28.4","","29.7",""
"155"," Papua New Guinea","18.7","","19.3","","19.8","","20.4","","20.9","","21.5","","22.4",""
"103"," Paraguay","19.3","","19.6","","20.3","","21.7","","23.1","","24.7","","26.3",""
"79"," Peru","20.1","","21.2","","22.7","","24.1","","25.5","","27.5","","31.0",""
"107"," Philippines","19.2","","19.8","","20.5","","21.3","","23.1","","24.1","","25.7",""
"35"," Poland","32.2","","33.6","","35.0","","36.6","","38.1","","39.7","","41.7",""
"38"," Portugal","34.2","","36.0","","37.8","","39.4","","41.6","","43.9","","46.2",""
"45"," Qatar","28.7","","29.0","","30.5","","31.0","","31.6","","31.5","","32.3",""
"49"," Romania","32.6","","33.9","","34.9","","37.1","","39.4","","41.3","","43.2",""
"52"," Russian Federation","33.4","","35.0","","36.5","","37.3","","38.0","","38.6","","39.6",""
"160"," Rwanda","15.3","","18.3","","17.4","","18.1","","18.9","","19.4","","20.0",""
"86"," Saint Lucia","21.4","","23.1","","24.2","","26.1","","30.3","","32.4","","34.5",""
"97"," Saint Vincent and the Grenadines","20.4","","22.3","","24.2","","26.3","","29.2","","31.6","","32.9",""
"111"," Samoa","18.7","","19.1","","19.5","","20.3","","20.8","","20.9","","21.8",""
"135"," Sao Tome and Principe","15.7","","16.3","","17.2","","17.6","","18.3","","18.3","","18.6",""
"40"," Saudi Arabia","19.5","","19.4","","21.3","","23.7","","26.0","","30.0","","31.8",""
"168"," Senegal","16.5","","16.9","","17.3","","17.8","","18.0","","18.1","","18.5",""
"64"," Serbia","33.2","k","34.1","k","36.1","k","37.2","k","38.7","k","40.5","k","41.6","k"
"67"," Seychelles","21.9","","24.5","","26.2","","28.9","","31.3","","32.8","","34.2",""
"182"," Sierra Leone","18.0","","17.7","","17.7","","17.9","","18.2","","18.7","","19.4",""
"11"," Singapore","29.3","","32.4","","34.8","","36.4","","37.9","","39.7","","42.2",""
"39"," Slovakia","31.2","","32.4","","33.9","","35.4","","37.3","","39.2","","41.2",""
"22"," Slovenia","34.2","","36.2","","38.1","","40.1","","41.6","","43.0","","44.5",""
"151"," Solomon Islands","17.0","","17.9","","18.7","","19.1","","19.5","","19.6","","19.9",""
".."," Somalia","17.8","","17.3","","16.5","","16.1","","15.9","","16.2","","16.7",""
