
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2010-2019",""
"169"," Afghanistan","..","","..","","..","","..","","52.6","","57.7","","60.8","","55.6","","49.9","","49.6","","43.7","","45.1","","49.2","","45.6","","45.6","a"
"69"," Albania","39.4","","47.6","","63.5","","70.9","","76.5","","81.2","","76.5","","75.9","","75.4","","71.8","","74.8","","78.2","","76.8","","76.7","","76.7","a"
"91"," Algeria","48.4","","55.2","","62.9","","71.3","","69.9","","67.5","","65.4","","63.6","","62.1","","59.7","","55.9","","55.9","","58.0","","52.0","","52.0","a"
"148"," Angola","..","","..","","152.5","","106.6","","104.1","","100.0","","91.8","","86.8","","79.3","","62.9","","53.4","","52.3","","66.4","","..","","66.4","a"
"78"," Antigua and Barbuda","149.3","","145.6","","116.3","","120.1","","104.7","","103.6","","103.8","","107.2","","106.7","","95.2","","90.2","","..","","..","","..","","90.2","a"
"46"," Argentina","15.0","","19.8","","22.6","","40.6","","35.0","","35.2","","30.5","","29.3","","28.4","","22.5","","26.1","","25.2","","30.7","","32.4","","32.4","a"
"81"," Armenia","81.3","","86.1","","72.2","","70.1","","64.6","","69.4","","76.0","","76.6","","75.6","","71.6","","75.9","","86.8","","91.1","","91.4","","91.4","a"
"8"," Australia","32.2","","37.8","","41.0","","39.3","","40.6","","41.9","","43.2","","41.2","","42.5","","41.5","","40.8","","41.8","","43.2","","45.7","","45.7","a"
"18"," Austria","71.5","","68.3","","85.4","","94.0","","99.0","","105.1","","105.2","","104.1","","103.5","","102.4","","101.1","","104.8","","107.8","","107.7","","107.7","a"
"88"," Azerbaijan","83.1","","85.9","","78.5","","115.8","","75.0","","80.5","","78.3","","74.7","","69.5","","72.6","","90.1","","90.4","","91.7","","86.0","","86.0","a"
"58"," Bahamas","110.1","","104.5","","79.6","","81.4","","78.7","","88.3","","84.3","","85.7","","87.2","","73.0","","72.4","","75.7","","77.3","","..","","77.3","a"
"42"," Bahrain","210.2","","152.5","","135.8","","148.3","","120.5","","174.2","","185.9","","191.9","","175.6","","154.6","","139.6","","143.3","","151.4","","..","","151.4","a"
"133"," Bangladesh","19.0","","28.2","","29.3","","34.4","","37.8","","47.4","","48.1","","46.3","","44.5","","42.1","","38.0","","35.3","","38.2","","36.8","","36.8","a"
"58"," Barbados","86.5","","91.9","","90.6","","97.6","","95.9","","93.5","","89.8","","87.9","","85.3","","84.5","","85.3","","82.9","","81.0","","83.7","","83.7","a"
"53"," Belarus","89.6","","103.7","","141.6","","118.9","","115.9","","158.0","","153.1","","119.8","","110.7","","115.9","","125.2","","133.4","","139.4","","133.3","","133.3","a"
"14"," Belgium","121.5","","116.4","","142.2","","144.5","","150.0","","161.5","","160.7","","157.9","","158.8","","154.2","","157.6","","163.4","","165.4","","163.3","","163.3","a"
"110"," Belize","100.2","","97.1","","126.6","","118.7","","117.7","","126.9","","128.3","","132.0","","127.6","","125.1","","114.2","","113.4","","115.7","","115.7","","115.7","a"
"158"," Benin","45.7","","63.8","","47.3","","39.1","","51.4","","47.2","","50.7","","59.2","","65.3","","56.8","","59.0","","61.5","","61.8","","63.7","","63.7","a"
"129"," Bhutan","57.5","","80.4","","80.4","","105.5","","115.9","","114.4","","104.2","","105.2","","98.3","","102.2","","85.4","","82.8","","86.7","","..","","86.7","a"
"107"," Bolivia (Plurinational State of)","46.7","","49.7","","45.6","","67.6","","75.5","","82.5","","84.9","","81.2","","85.3","","67.9","","56.4","","56.7","","57.1","","56.4","","56.4","a"
